,city,lat,temp_max,lon,country,clouds,wind speed,humidity
38,Gobabis,-22.45,59.0,18.97,NA,0,1.12,58
39,Puerto del Rosario,28.5,68.0,-13.86,ES,40,13.87,64
40,Korla,41.76,73.83,86.15,CN,29,11.52,14
41,Bahía Honda,22.9,86.47,-83.16,CU,2,8.32,52
42,Chui,-33.7,60.53,-53.46,UY,0,12.86,65
43,Atuona,-9.8,82.09,-139.03,PF,6,19.57,77
44,Cherskiy,68.75,24.19,161.3,RU,100,7.02,97
45,Pyinmana,19.73,75.13,96.22,MM,16,2.71,81
46,Rikitea,-23.12,79.57,-134.97,PF,60,14.76,81
47,Araouane,18.9,92.84,-3.53,ML,3,7.67,12
48,Castro,-24.79,61.39,-50.01,BR,12,2.8,56
49,Manokwari,-0.87,79.86,134.08,ID,100,3.53,81
50,Busselton,-33.65,48.0,115.33,AU,0,12.73,48
51,Husavik,66.04,41.0,-17.34,IS,20,26.4,75
52,Atambua,-9.11,70.39,124.89,ID,40,4.45,78
53,Bouca,6.51,74.14,18.27,CF,84,4.43,79
54,Yellowknife,62.46,53.6,-114.35,CA,40,10.29,34
55,Red Wing,44.56,60.8,-92.53,US,75,14.99,44
56,Perth,-31.93,53.01,115.83,AU,0,14.99,57
57,Constantine,36.37,55.4,6.61,DZ,40,2.24,82
58,Broken Hill,-31.95,46.4,141.43,AU,90,14.99,87
59,Ilulissat,69.22,28.4,-51.1,GL,0,10.29,63
60,Cedar City,37.68,80.6,-113.06,US,1,4.7,21
61,Hobyo,5.35,85.19,48.53,SO,61,18.34,75
62,Bambanglipuro,-7.95,78.82,110.28,ID,100,8.39,83
63,Bethel,41.37,50.0,-73.41,US,90,11.41,61
64,Kapaa,22.08,77.0,-159.32,US,40,19.46,94
65,Carnarvon,-24.87,69.8,113.63,AU,87,11.41,28
66,Airai,-8.93,56.86,125.41,TL,86,2.66,67
67,São Filipe,14.9,75.87,-24.5,CV,32,13.35,65
68,Dickinson,29.46,82.99,-95.05,US,40,17.22,28
69,Punta Arenas,-53.15,42.8,-70.92,CL,90,1.12,93
70,Mataura,-46.19,52.48,168.86,NZ,100,6.87,60
71,Kutum,14.2,76.89,24.67,SD,0,10.76,12
72,Iqaluit,63.75,28.4,-68.51,CA,90,14.99,92
73,Tiksi,71.69,14.25,128.87,RU,100,9.57,96
74,Cape Town,-33.93,57.2,18.42,ZA,26,1.12,71
75,Bydgoszcz,53.12,45.0,18.01,PL,75,9.17,75
76,Kautokeino,69.01,14.07,23.04,NO,67,2.13,94
77,Mar del Plata,-38.0,62.01,-57.56,AR,40,18.34,67
78,Cayenne,4.93,77.0,-52.33,GF,75,3.36,100
79,Southbridge,42.08,55.0,-72.03,US,88,1.99,39
80,Tupaciguara,-18.59,71.6,-48.7,BR,52,4.7,56
81,Tūkrah,32.53,66.51,20.58,LY,87,8.28,57
82,Kingisepp,59.37,29.75,28.61,RU,5,3.13,98
83,Batagay-Alyta,67.8,15.8,130.41,RU,99,6.2,89
84,Makakilo City,21.35,78.8,-158.09,US,75,14.99,65
85,Corner Brook,48.97,46.4,-57.95,CA,20,6.93,36
86,Asilah,35.47,57.2,-6.03,MA,31,1.12,82
87,Namatanai,-3.67,82.35,152.43,PG,89,4.83,76
88,College,64.86,39.2,-147.8,US,20,16.11,38
89,Pārsābād,39.65,48.2,47.92,IR,28,4.7,87
90,Saint-Pierre,-21.34,73.4,55.48,RE,90,6.93,69
91,Lebu,-37.62,55.24,-73.65,CL,65,7.18,81
92,Port Hardy,50.7,48.2,-127.42,CA,90,3.36,93
93,Nālūt,30.33,76.19,10.85,LY,0,6.55,19
94,Geraldton,-28.77,59.0,114.6,AU,100,14.99,42
95,Upernavik,72.79,21.61,-56.15,GL,40,6.78,82
96,La Ronge,55.1,66.2,-105.28,CA,75,12.75,24
97,Dandong,40.13,49.82,124.39,CN,52,8.46,68
98,São José da Coroa Grande,-8.9,78.37,-35.15,BR,26,7.87,82
99,Tasiilaq,65.61,37.4,-37.64,GL,0,23.04,69
100,Piet Retief,-27.01,47.93,30.81,ZA,12,3.09,56
101,Jamestown,42.1,66.0,-79.24,US,90,14.99,48
102,Uglovoye,44.82,50.14,33.6,UA,0,6.31,65
103,Nikolskoye,59.7,33.01,30.79,RU,76,4.47,97
104,Codrington,-38.27,51.39,141.97,AU,84,15.21,77
105,Hithadhoo,-0.6,84.72,73.08,MV,83,9.6,75
106,Chu,43.6,60.01,73.76,KZ,100,10.0,40
107,Mahébourg,-20.41,71.6,57.7,MU,75,16.11,88
108,Poum,-20.23,78.58,164.02,NC,0,14.23,74
109,Lázaro Cárdenas,17.96,84.24,-102.2,MX,32,10.74,54
110,Izhma,65.01,31.14,53.91,RU,93,4.07,97
111,Tual,-5.67,82.26,132.75,ID,100,16.06,80
112,Hobart,-42.88,51.8,147.33,AU,75,4.7,87
113,Nantucket,41.28,48.2,-70.1,US,1,11.41,61
114,Marand,38.43,53.6,45.77,IR,75,13.87,58
115,Half Moon Bay,37.46,73.0,-122.43,US,90,8.05,93
116,Klaksvík,62.23,35.6,-6.59,FO,38,1.12,80
117,Thompson,55.74,55.4,-97.86,CA,40,8.05,32
118,Lavrentiya,65.58,23.58,-171.0,RU,65,0.85,95
119,Bredasdorp,-34.53,55.4,20.04,ZA,61,6.93,66
120,Arraial do Cabo,-22.97,75.2,-42.03,BR,0,13.87,78
121,Tsimmerbude,54.67,41.0,20.13,RU,93,2.24,80
122,Puerto Ayora,-0.74,86.0,-90.35,EC,20,19.46,62
123,Bluff,-46.6,54.12,168.33,NZ,100,18.39,69
124,Mahon,39.89,59.0,4.27,ES,0,8.05,82
125,Hay River,60.82,55.4,-115.8,CA,20,13.87,37
126,Ribeira Grande,38.52,64.27,-28.7,PT,93,19.62,92
127,Makokou,0.57,72.7,12.86,GA,27,1.99,82
128,Avarua,-21.21,78.8,-159.78,CK,28,9.17,74
129,Qaqortoq,60.72,48.2,-46.03,GL,0,8.05,26
130,Khandyga,62.67,31.03,135.6,RU,100,14.16,94
131,Saskylakh,71.92,17.13,114.08,RU,100,6.58,96
132,Port Alfred,-33.59,57.99,26.89,ZA,0,4.0,86
133,Barcelos,41.54,57.2,-8.62,PT,75,8.05,82
134,Riyadh,24.69,87.8,46.72,SA,40,8.05,29
135,Honiara,-9.43,80.6,159.95,SB,20,2.24,83
136,Kudahuvadhoo,2.67,84.38,72.89,MV,19,7.76,73
137,Kastamonu Province,41.5,45.43,33.67,TR,7,0.25,52
138,Pilar,-9.6,77.0,-35.96,BR,20,5.82,88
139,Bambous Virieux,-20.34,75.99,57.76,MU,75,16.11,88
140,Barra do Garças,-15.89,72.19,-52.26,BR,0,1.43,65
141,Belyy Yar,53.6,62.6,91.39,RU,100,8.95,55
142,Dneprovskaya,45.62,48.99,38.81,RU,0,1.43,72
143,Burnie,-41.07,46.0,145.92,AU,93,4.0,91
144,Tarsus,36.92,64.4,34.88,TR,40,2.59,93
145,Severo-Kuril'sk,50.68,32.25,156.12,RU,61,10.8,91
146,Tunceli,39.11,53.6,39.55,TR,30,8.05,66
147,George Town,5.41,80.6,100.34,MY,20,3.29,100
148,Pacific Grove,36.62,63.0,-121.92,US,75,8.05,72
149,Tena,-0.98,84.2,-77.82,EC,20,6.93,66
150,Praia da Vitória,38.73,64.4,-27.07,PT,40,15.97,72
151,Guozhen,34.37,64.4,107.36,CN,95,2.8,38
152,Altamira,-3.2,82.4,-52.21,BR,40,2.06,83
153,Rawson,-43.3,57.02,-65.1,AR,44,7.83,68
154,Ballina,-28.87,68.0,153.57,AU,99,1.12,93
155,Kpandu,7.0,77.47,0.29,GH,92,7.65,81
156,Mosetse,-20.75,65.77,26.65,BW,31,2.73,41
157,Saint Anthony,45.02,62.01,-93.22,US,1,14.99,41
158,Manggar,-2.88,78.93,108.27,ID,55,2.04,83
159,Muzhi,65.37,22.23,64.67,RU,100,21.39,97
